CONTOUR-LINE z=0.200000 
-12.513035 -5.969760 
-12.513035 -5.683003 
-12.565172 -5.370177 
-12.617310 -5.083420 
-12.669447 -4.796663 
-12.669447 -4.535975 
-12.695517 -4.249218 
-12.721585 -3.962461 
-12.721585 -3.675704 
-12.721585 -3.362878 
-12.721585 -3.050052 
-12.721585 -2.763295 
-12.721585 -2.502607 
-12.721585 -2.241919 
-12.669447 -1.955162 
-12.643378 -1.694473 
-12.591241 -1.381648 
-12.539104 -1.094890 
-12.513035 -0.834202 
-12.486965 -0.573514 
-12.434828 -0.234619 
-12.382690 0.130344 
-12.356622 0.417101 
-12.304483 0.677789 
-12.278415 1.016684 
-12.226277 1.381648 
-12.148071 1.668405 
-12.122002 2.007299 
-12.069864 2.294056 
-12.017727 2.685089 
-12.017727 2.971846 
-11.991658 3.258603 
-11.991658 3.519291 
-11.939520 3.779979 
-11.913451 4.066736 
-11.887383 4.405631 
-11.887383 4.666319 
-11.835245 4.953076 
-11.809176 5.213764 
-11.783108 5.500521 
-11.730969 5.761209 
-11.704901 6.021898 
-11.626695 6.308655 
-11.626695 6.569343 
1.929093 8.107404 
11.809176 5.683003 
16.084463 0.886340 
16.188738 0.625652 
16.319082 0.391032 
16.423357 0.130344 
16.423357 -0.156413 
16.423357 -0.521376 
16.423357 -0.808133 
16.501564 -1.147028 
16.527634 -1.459854 
16.553701 -1.746611 
16.553701 -2.059437 
16.605839 -2.320125 
16.631908 -2.580813 
16.657976 -2.841501 
16.710115 -3.128258 
16.762253 -3.388947 
16.788321 -3.649635 
16.840458 -3.936392 
16.944735 -4.249218 
17.075079 -4.614182 
17.153284 -4.874870 
17.231491 -5.135558 
17.361835 -5.448384 
17.440042 -5.709072 
17.518248 -5.969760 
17.231491 -5.995829 
16.892597 -5.995829 
16.527634 -5.995829 
16.240875 -5.995829 
15.928050 -5.995829 
15.589155 -5.995829 
15.250260 -5.995829 
14.937435 -5.995829 
14.650678 -5.995829 
14.311783 -5.995829 
13.998958 -5.995829 
13.712200 -5.995829 
13.373305 -5.995829 
13.060480 -5.995829 
12.799791 -5.995829 
12.513035 -5.995829 
12.252346 -5.969760 
12.017727 -5.813347 
11.757038 -5.735141 
11.444213 -5.735141 
11.157455 -5.735141 
10.870699 -5.735141 
10.557873 -5.735141 
10.271115 -5.735141 
9.932221 -5.735141 
9.645464 -5.787278 
9.306569 -5.865485 
9.019813 -5.943691 
8.733055 -6.021898 
8.420229 -6.074035 
8.081335 -6.074035 
7.820646 -6.152242 
7.533889 -6.230448 
7.247132 -6.282586 
6.908238 -6.386861 
6.647550 -6.465068 
6.386861 -6.517205 
6.126173 -6.595412 
5.813347 -6.621480 
5.500521 -6.673618 
5.239833 -6.725756 
4.979145 -6.725756 
4.640250 -6.725756 
4.249218 -6.725756 
3.962461 -6.725756 
3.623566 -6.725756 
3.258603 -6.725756 
2.945777 -6.725756 
2.659020 -6.725756 
2.320125 -6.725756 
1.981230 -6.725756 
1.694473 -6.699687 
1.329510 -6.673618 
0.938478 -6.569343 
0.599583 -6.569343 
0.234619 -6.543274 
-0.130344 -6.517205 
-0.469239 -6.491137 
-0.782065 -6.491137 
-1.120959 -6.438999 
-1.433785 -6.412930 
-1.798749 -6.386861 
-2.111575 -6.386861 
-2.502607 -6.386861 
-2.763295 -6.386861 
-3.076121 -6.386861 
-3.336809 -6.386861 
-3.675704 -6.386861 
-3.962461 -6.386861 
-4.275287 -6.386861 
-4.666319 -6.386861 
-5.057352 -6.386861 
-5.448384 -6.386861 
-5.813347 -6.386861 
-6.204380 -6.386861 
-6.595412 -6.386861 
-7.012513 -6.386861 
-7.403545 -6.386861 
-7.768509 -6.386861 
-8.159541 -6.386861 
-8.498436 -6.386861 
-8.863400 -6.386861 
-9.150156 -6.386861 
-9.436913 -6.386861 
-9.723671 -6.334723 
-9.984359 -6.308655 
-10.297185 -6.282586 
-10.557873 -6.256517 
-10.844630 -6.204380 
-11.105318 -6.178311 
-11.392076 -6.178311 
-11.704901 -6.178311 
-11.965590 -6.178311 
-12.226277 -6.152242 
CONTOUR-LINE z=0.600000 
-9.567258 -4.822732 
-9.827946 -4.718457 
-10.062565 -4.509906 
-10.192909 -4.275287 
-10.271115 -3.988530 
-10.271115 -3.701773 
-10.271115 -3.388947 
-10.271115 -3.102190 
-10.427528 -0.260688 
-9.749740 3.362878 
-9.541189 3.545360 
-9.254432 3.649635 
-8.993744 3.727841 
-8.733055 3.753910 
-8.420229 3.832117 
-8.055265 3.858186 
-7.794578 3.910323 
-7.507821 3.962461 
-7.247132 4.066736 
-6.934307 4.223149 
-6.647550 4.327425 
-6.360793 4.483837 
-6.047966 4.562044 
-5.787279 4.640250 
-5.526590 4.666319 
-5.265902 4.666319 
-4.953076 4.666319 
-4.640250 4.666319 
-4.301355 4.666319 
-3.910323 4.666319 
-3.493222 4.666319 
-3.102190 4.666319 
-2.789364 4.666319 
-2.398332 4.666319 
-1.981230 4.692388 
-1.590198 4.770594 
-1.303441 4.822732 
-0.886340 4.927007 
-0.599583 5.005214 
-0.312826 5.109489 
0.000000 5.187696 
0.364964 5.291971 
0.651721 5.396246 
0.990615 5.422315 
1.251303 5.474452 
1.616267 5.526590 
1.981230 5.604796 
2.267987 5.604796 
2.554744 5.604796 
2.867570 5.604796 
3.258603 5.604796 
3.701773 5.604796 
3.988530 5.604796 
4.405631 5.604796 
4.848801 5.604796 
5.265902 5.578728 
5.683003 5.500521 
6.074036 5.422315 
6.543274 5.265902 
6.908238 5.161627 
7.221064 5.057352 
7.533889 4.927007 
7.846715 4.770594 
8.107404 4.666319 
8.394160 4.562044 
8.654849 4.483837 
8.941606 4.379562 
9.202294 4.249218 
9.436913 4.118874 
9.567258 3.858186 
9.749740 3.623566 
9.932221 3.415016 
10.140772 3.206465 
10.323254 2.971846 
10.427528 2.711157 
10.505735 2.450469 
11.131387 2.424400 
11.392076 2.372263 
11.678832 2.320125 
11.939520 2.294056 
12.200209 2.267987 
12.460896 2.189781 
12.695517 2.033368 
12.904067 1.824818 
13.060480 1.564129 
13.164755 1.277372 
13.295099 1.042753 
13.477581 0.834202 
13.633994 0.625652 
13.816476 0.391032 
13.946819 0.130344 
14.025026 -0.156413 
14.025026 -0.443170 
14.025026 -0.703858 
14.025026 -0.990615 
13.998958 -1.251303 
13.920751 -1.511992 
13.764338 -1.746611 
13.529718 -1.903024 
13.190824 -2.033368 
12.930136 -2.137643 
12.617310 -2.267987 
12.330553 -2.320125 
12.043796 -2.398332 
11.730969 -2.502607 
11.418144 -2.580813 
11.027112 -2.711157 
10.740355 -2.763295 
10.427528 -2.867570 
10.166841 -2.971846 
9.697601 -3.102190 
9.436913 -3.154327 
9.176226 -3.258603 
8.915537 -3.336809 
8.576642 -3.388947 
8.211679 -3.519291 
7.846715 -3.571429 
7.481752 -3.623566 
7.090720 -3.727841 
6.830031 -3.727841 
6.438999 -3.779979 
6.074036 -3.858186 
5.656934 -3.910323 
5.265902 -3.962461 
4.874870 -4.014598 
4.483837 -4.092805 
4.092805 -4.171011 
3.727842 -4.223149 
3.441084 -4.249218 
3.076121 -4.301355 
2.711158 -4.379562 
2.294056 -4.405631 
1.903024 -4.431700 
1.485923 -4.509906 
1.094890 -4.509906 
0.677789 -4.535975 
0.417101 -4.535975 
-0.026069 -4.535975 
-0.521376 -4.535975 
-0.782065 -4.535975 
-1.042753 -4.562044 
-1.590198 -4.562044 
-1.903024 -4.562044 
-2.163712 -4.562044 
-2.424400 -4.614182 
-2.711158 -4.666319 
-3.258603 -4.692388 
-3.571429 -4.692388 
-4.118874 -4.718457 
-4.405631 -4.718457 
-4.900939 -4.718457 
-5.344109 -4.770594 
-5.604797 -4.796663 
-5.943691 -4.796663 
-6.204380 -4.796663 
-6.491137 -4.796663 
-6.777894 -4.796663 
-7.064651 -4.796663 
-7.377477 -4.822732 
-7.664234 -4.822732 
-7.924922 -4.822732 
-8.263817 -4.822732 
-8.576642 -4.874870 
-8.837331 -4.900939 
CONTOUR-LINE z=1.600000 
-3.545360 3.467153 
-4.588113 3.467153 
-4.848801 3.493222 
-5.109489 3.493222 
-5.422315 3.493222 
-5.735141 3.493222 
-5.995829 3.493222 
-6.256517 3.493222 
-6.543274 3.467153 
-6.830031 3.441084 
-7.090720 3.362878 
-7.351408 3.284672 
-7.612096 3.180396 
-7.846715 3.050052 
-8.133472 2.945777 
-8.368092 2.815433 
-8.602711 2.685089 
-8.811262 2.476538 
-8.967674 2.241919 
-9.071950 1.981230 
-9.124087 1.720542 
-9.202294 1.459854 
-9.306569 1.199166 
-9.384776 0.938478 
-9.462982 0.677789 
-9.462982 0.391032 
-9.515120 0.130344 
-9.567258 -0.156413 
-9.567258 -0.443170 
-9.593327 -0.703858 
-9.619395 -0.990615 
-9.645464 -1.251303 
-9.645464 -1.564129 
-9.645464 -1.824818 
-9.619395 -2.111575 
-9.515120 -2.398332 
-9.384776 -2.659020 
-9.228363 -2.867570 
-9.098019 -3.128258 
-8.889468 -3.310740 
-8.654849 -3.441084 
-8.368092 -3.571429 
-8.107404 -3.649635 
