CONTOUR-LINE z=0.200000 
1.746611 -12.330552 
-24.817518 -12.460896 
-24.426485 12.565172 
24.687174 12.539104 
24.817518 -12.591241 
CONTOUR-LINE z=0.300000 
-13.295099 -12.069864 
-13.477581 -11.835245 
-13.633994 -11.548488 
-13.764338 -11.313869 
-13.868613 -11.053181 
-13.972888 -10.792492 
-14.025026 -10.505735 
-14.025026 -10.245047 
-14.025026 -9.958290 
-14.025026 -9.697601 
-14.025026 -9.410845 
-14.025026 -9.150156 
-14.025026 -8.863400 
-14.025026 -8.576642 
-14.103232 -8.289886 
-14.155370 -8.029197 
-14.285714 -7.742440 
-14.363921 -7.429614 
-14.468196 -7.168926 
-14.572472 -6.856100 
-14.676746 -6.595412 
-14.833159 -6.308655 
-14.963504 -6.021898 
-15.067779 -5.761209 
-15.224192 -5.500521 
-15.354536 -5.265902 
-15.563087 -5.031282 
-15.823774 -4.848801 
-16.084463 -4.744525 
-16.371220 -4.640250 
-16.684046 -4.509906 
-16.970802 -4.431700 
-17.257561 -4.353493 
-17.518248 -4.275287 
-17.805006 -4.197080 
-18.091763 -4.171011 
-18.352451 -4.171011 
-18.639208 -4.171011 
-18.952034 -4.171011 
-19.264860 -4.171011 
-19.577684 -4.171011 
-19.838373 -4.171011 
-20.125130 -4.171011 
-20.385818 -4.223149 
-20.646507 -4.223149 
-20.933264 -4.301355 
-21.193953 -4.301355 
-21.480709 -4.327425 
-21.741398 -4.327425 
-22.028154 -4.327425 
-22.288843 -4.327425 
-22.601669 -4.327425 
-22.888426 -4.327425 
-23.149115 -4.327425 
-23.435871 -4.327425 
-23.722628 -4.327425 
-23.983316 -4.353493 
-24.244003 -4.405631 
-24.244003 12.434828 
24.452555 12.460896 
24.478624 -1.068822 
24.504692 -6.777894 
24.504692 -7.038582 
24.504692 -7.299270 
24.452555 -7.612096 
24.374348 -7.898853 
24.270073 -8.159541 
24.113661 -8.394160 
24.009384 -8.680918 
23.826902 -8.993743 
23.696558 -9.254432 
23.540146 -9.515120 
23.488008 -9.775808 
23.435871 -10.062565 
23.435871 -10.323254 
23.409801 -10.583941 
23.357664 -10.870699 
23.253389 -11.131387 
23.149115 -11.392075 
22.992701 -11.600626 
22.732012 -11.730969 
22.523462 -11.913451 
22.314911 -12.069864 
22.236706 -12.330552 
CONTOUR-LINE z=0.400000 
-8.550573 -11.783108 
-8.811262 -11.105318 
-8.889468 -10.844629 
-9.019813 -10.583941 
-9.124087 -10.297185 
-9.306569 -10.036496 
-9.489051 -9.801877 
-9.645464 -9.541188 
-9.775808 -9.254432 
-9.880083 -8.993743 
-9.958290 -8.680918 
-9.958290 -8.420229 
-10.010427 -8.159541 
-10.010427 -7.872784 
-10.036496 -7.586027 
-10.062565 -7.273201 
-10.114703 -7.012513 
-10.140772 -6.751825 
-10.192909 -6.491137 
-10.218978 -6.204380 
-10.218978 -5.943691 
-10.218978 -5.656934 
-10.271115 -5.396246 
-10.271115 -5.135558 
-10.297185 -4.848801 
-10.297185 -4.562044 
-10.245047 -4.275287 
-10.114703 -3.884254 
-10.062565 -3.571429 
-10.036496 -3.310740 
-9.984359 -3.050052 
-9.906152 -2.789364 
-9.880083 -2.502607 
-9.801877 -2.241919 
-9.801877 -1.955162 
-9.801877 -1.642336 
-9.801877 -1.355579 
-9.801877 -1.016684 
-9.801877 -0.703858 
-9.827946 -0.391032 
-9.932221 -0.130344 
-10.036496 0.130344 
-10.192909 0.338895 
-10.427528 0.469239 
-10.766423 0.625652 
-11.027112 0.729927 
-11.313869 0.860271 
-11.574557 0.938478 
-11.861314 1.042753 
-12.122002 1.173097 
-12.382690 1.225235 
-12.643378 1.329510 
-12.930136 1.381648 
-13.190824 1.407716 
-13.529718 1.407716 
-13.842545 1.407716 
-14.181439 1.407716 
-14.520333 1.407716 
-14.833159 1.329510 
-15.093848 1.277372 
-15.406673 1.147028 
-15.719500 1.016684 
-16.032326 0.834202 
-16.266945 0.677789 
-16.579771 0.573514 
-16.892597 0.417101 
-17.257561 0.260688 
-17.596455 0.130344 
-17.857143 -0.026069 
-18.143900 -0.182482 
-18.378519 -0.338895 
-18.587070 -0.495308 
-18.821690 -0.625652 
-19.056309 -0.755996 
-19.290928 -0.912409 
-19.551617 -1.068822 
-19.812304 -1.251303 
-20.046925 -1.407716 
-20.255474 -1.590198 
-20.516163 -1.746611 
-20.750782 -1.903024 
-20.985401 -2.033368 
-21.246090 -2.085506 
-21.480709 -2.215850 
-21.741398 -2.346194 
-21.976017 -2.502607 
-22.236706 -2.659020 
-22.523462 -2.711157 
-22.784151 -2.711157 
-23.070908 -2.711157 
-23.357664 -2.711157 
-23.618353 -2.711157 
-23.905109 -2.711157 
-24.061522 12.304483 
24.244003 12.356622 
24.296143 -0.677789 
24.270073 -0.964546 
24.244003 -1.225235 
24.165798 -1.485923 
24.061522 -1.746611 
23.957247 -2.007299 
23.826902 -2.241919 
23.618353 -2.424400 
23.409801 -2.632951 
23.227320 -2.893639 
23.070908 -3.154327 
22.914494 -3.362878 
22.705944 -3.571429 
22.549530 -3.806048 
22.367048 -4.040668 
22.210636 -4.275287 
22.028154 -4.509906 
21.897810 -4.770594 
21.793535 -5.057352 
21.689260 -5.344109 
21.611053 -5.709072 
21.532846 -6.021898 
21.454639 -6.360793 
21.428572 -6.621480 
21.428572 -6.882169 
21.350365 -7.168926 
21.350365 -7.455683 
21.246090 -7.716371 
21.115746 -8.003128 
20.933264 -8.211679 
20.750782 -8.446299 
20.568300 -8.680918 
20.411888 -8.941606 
20.281544 -9.176225 
20.151199 -9.436913 
20.046925 -9.723670 
19.942648 -10.036496 
19.864443 -10.297185 
19.838373 -10.557873 
19.812304 -10.818561 
19.760166 -11.105318 
19.734098 -11.366006 
19.681961 -11.626695 
19.681961 -11.913451 
CONTOUR-LINE z=0.700000 
-1.798749 -11.548488 
19.421272 -11.652763 
19.786236 -9.410845 
19.916580 -9.176225 
19.968718 -8.915537 
20.072992 -8.654849 
20.229406 -8.420229 
20.385818 -8.185610 
20.568300 -7.977059 
20.750782 -7.742440 
20.907194 -7.507821 
21.037539 -7.221064 
21.089676 -6.960375 
21.089676 -6.699687 
21.141815 -6.438999 
21.167883 -6.152242 
21.193953 -5.865485 
21.193953 -5.604796 
21.272158 -5.344109 
21.350365 -5.083420 
21.454639 -4.796663 
21.584984 -4.562044 
21.715328 -4.275287 
21.819603 -4.014598 
21.949947 -3.753910 
22.106361 -3.493222 
22.340981 -3.284672 
22.575600 -3.076121 
22.758081 -2.867570 
22.940563 -2.659020 
23.123045 -2.450469 
23.279457 -2.215850 
23.461939 -1.981230 
23.592283 -1.720542 
23.722628 -1.485923 
23.826902 -1.225235 
23.957247 -0.964546 
24.035454 -0.703858 
24.061522 -0.443170 
24.087591 12.278415 
-23.905109 12.278415 
-23.774765 -0.547445 
-23.149115 -0.234619 
-22.888426 -0.156413 
-22.601669 -0.078206 
-22.340981 0.000000 
-22.080292 0.052138 
-21.819603 0.130344 
-21.584984 0.260688 
-21.324297 0.364964 
-21.037539 0.495308 
-20.776852 0.625652 
-20.516163 0.755996 
-20.255474 0.860271 
-19.994785 0.964546 
-19.734098 1.068822 
-19.447342 1.173097 
-19.186653 1.225235 
-18.873827 1.277372 
-18.587070 1.303441 
-18.326382 1.355579 
-18.039625 1.407716 
-17.778936 1.433785 
-17.518248 1.485923 
-17.179354 1.564129 
-16.918665 1.616267 
-16.631908 1.694473 
-16.371220 1.772680 
-16.110531 1.798749 
-15.849844 1.824818 
-15.563087 1.850886 
-15.250260 1.850886 
-14.937435 1.850886 
-14.624609 1.850886 
-14.337852 1.850886 
-14.025026 1.850886 
-13.764338 1.850886 
-13.451512 1.850886 
-13.190824 1.798749 
-12.904067 1.772680 
-12.617310 1.720542 
-12.356622 1.642336 
-12.095933 1.616267 
-11.835245 1.511992 
-11.574557 1.459854 
-11.313869 1.355579 
-11.053181 1.303441 
-10.766423 1.225235 
-10.505735 1.120959 
-10.271115 0.990615 
-10.010427 0.782065 
-9.854014 0.573514 
-9.697601 0.364964 
-9.541189 0.130344 
-9.384776 -0.078206 
-9.254432 -0.312826 
-9.150156 -0.573514 
-9.071950 -0.834202 
-9.045881 -1.120959 
-8.889468 -1.329510 
-8.654849 -1.459854 
-8.420229 -1.590198 
-8.159541 -1.720542 
-7.898853 -1.824818 
-7.638165 -1.929093 
-7.377477 -2.059437 
-7.142857 -2.215850 
-6.856100 -2.346194 
-6.595412 -2.502607 
-6.360793 -2.632951 
-6.126173 -2.789364 
-5.891554 -2.945777 
-5.630866 -3.050052 
