CONTOUR-LINE z=4.499998 
-2.945777 -0.078206 
-2.945777 0.208551 
-2.945777 0.495308 
-2.867570 0.755996 
-2.893639 1.016684 
-2.971846 1.303441 
-3.050052 1.564129 
-3.102190 1.824818 
-3.154327 2.111575 
-3.154327 2.398332 
-3.154327 2.685089 
-3.154327 2.945777 
-3.154327 3.232534 
-3.154327 3.545360 
-3.154327 3.832117 
-3.128259 4.092805 
-3.050052 4.379562 
-2.945777 4.640250 
-2.815433 4.874870 
-2.659020 5.135558 
-2.476538 5.370177 
-2.294056 5.630866 
-2.111575 5.839416 
-1.903024 6.047966 
-1.668405 6.178311 
-1.433785 6.334723 
-1.199166 6.465068 
-0.938478 6.595412 
-0.651721 6.725756 
-0.312826 6.803962 
0.000000 6.856100 
0.286757 6.908237 
0.573514 6.934307 
0.886340 6.934307 
1.199166 6.908237 
1.511992 6.777894 
1.798749 6.621480 
2.085506 6.438999 
2.346194 6.308655 
2.632951 6.152242 
2.945777 5.969760 
3.258603 5.787278 
3.545360 5.656934 
3.806048 5.526590 
4.040668 5.396246 
4.301355 5.239833 
4.509906 5.057352 
4.718457 4.874870 
4.900939 4.666319 
5.083420 4.457768 
5.239833 4.171011 
5.370177 3.910323 
5.448384 3.597497 
5.500521 3.284672 
5.500521 2.997915 
5.474452 2.737226 
5.422315 2.450469 
5.291971 2.189781 
5.161627 1.903024 
5.031282 1.590198 
4.848801 1.277372 
4.718457 1.042753 
4.535975 0.755996 
4.379562 0.495308 
4.171011 0.286757 
3.988530 0.078206 
3.779979 -0.130344 
3.545360 -0.364964 
3.258603 -0.625652 
3.050052 -0.834202 
2.841501 -1.042753 
2.580813 -1.303441 
2.346194 -1.511992 
2.137643 -1.720542 
1.903024 -1.903024 
1.642336 -2.085506 
1.407716 -2.320125 
1.173097 -2.450469 
0.938478 -2.580813 
0.677789 -2.711157 
0.417101 -2.711157 
0.104275 -2.711157 
-0.156413 -2.606882 
-0.391032 -2.476538 
-0.677789 -2.320125 
-0.964546 -2.163712 
-1.199166 -2.033368 
-1.433785 -1.850886 
-1.642336 -1.668405 
-1.850886 -1.459854 
-2.033368 -1.251303 
-2.189781 -0.990615 
-2.372263 -0.782065 
-2.528676 -0.573514 
-2.737226 -0.338895 
CONTOUR-LINE z=0.100000 
4.275287 7.403545 
4.014598 7.429614 
3.727842 7.481752 
3.467153 7.559958 
3.206465 7.716371 
2.971846 7.872784 
2.737226 8.029197 
2.502607 8.185610 
2.372263 8.420229 
2.320125 8.706986 
2.372263 8.967674 
2.580813 9.124087 
2.867570 9.202294 
3.128259 9.228363 
3.441084 9.254432 
3.701773 9.280500 
3.962461 9.280500 
4.223149 9.280500 
4.509906 9.280500 
4.744525 9.150156 
4.874870 8.915537 
5.057352 8.628780 
5.135558 8.368092 
5.057352 8.107404 
4.927007 7.872784 
4.692388 7.716371 
CONTOUR-LINE z=0.100000 
8.263817 1.016684 
8.237747 1.277372 
8.159541 1.564129 
8.081335 1.824818 
7.977059 2.085506 
7.846715 2.372263 
7.742440 2.632951 
7.612096 2.893639 
7.507821 3.154327 
7.481752 3.415016 
7.481752 3.701773 
7.586027 3.988530 
7.820646 4.144943 
8.029197 4.327425 
8.211679 4.562044 
8.472367 4.640250 
8.759124 4.640250 
9.019813 4.640250 
9.306569 4.535975 
9.541189 4.379562 
9.827946 4.171011 
10.036496 3.962461 
10.245047 3.701773 
10.375391 3.415016 
10.505735 3.154327 
10.636079 2.893639 
10.740355 2.606882 
10.818561 2.346194 
10.896768 2.059437 
10.922836 1.772680 
10.922836 1.485923 
10.922836 1.173097 
10.922836 0.860271 
10.922836 0.573514 
10.922836 0.260688 
10.922836 -0.026069 
10.818561 -0.286757 
10.688217 -0.573514 
10.479667 -0.755996 
10.192909 -0.886340 
9.906152 -0.990615 
9.645464 -1.068822 
9.384776 -1.120959 
9.098019 -1.068822 
8.863400 -0.912409 
8.576642 -0.729927 
8.420229 -0.521376 
8.289886 -0.260688 
8.211679 0.000000 
8.185610 0.260688 
8.185610 0.547445 
CONTOUR-LINE z=0.100000 
5.735141 -0.417101 
5.500521 -0.260688 
5.318039 0.000000 
5.318039 0.286757 
5.448384 0.521376 
5.709072 0.651721 
5.917623 0.834202 
6.100104 1.042753 
6.308655 1.251303 
6.569343 1.355579 
6.856100 1.277372 
6.908238 1.016684 
6.830031 0.729927 
6.830031 0.443170 
6.882169 0.156413 
6.908238 -0.104275 
6.673618 -0.234619 
6.412930 -0.338895 
6.126173 -0.417101 
CONTOUR-LINE z=0.100000 
4.718457 -3.023983 
4.640250 -2.763295 
4.614182 -2.502607 
4.614182 -2.241919 
4.796663 -2.007299 
4.953076 -1.772680 
5.213764 -1.616267 
5.474452 -1.538060 
5.735141 -1.538060 
5.995829 -1.538060 
6.256517 -1.538060 
6.517205 -1.564129 
6.725756 -1.798749 
6.647550 -2.059437 
6.412930 -2.241919 
6.204380 -2.476538 
6.047966 -2.711157 
5.839416 -2.919708 
5.604797 -3.076121 
5.344109 -3.102190 
5.083420 -3.102190 
CONTOUR-LINE z=0.100000 
1.511992 -4.953076 
1.616267 -4.692388 
1.824818 -4.483837 
2.033368 -4.249218 
2.241919 -4.040668 
2.398332 -3.806048 
2.554744 -3.519291 
2.867570 -3.441084 
3.180396 -3.545360 
3.441084 -3.597497 
3.753910 -3.701773 
4.014598 -3.779979 
4.275287 -3.884254 
4.509906 -4.014598 
4.588113 -4.301355 
4.588113 -4.562044 
4.405631 -4.770594 
4.171011 -4.927007 
3.884254 -5.005214 
3.623566 -5.083420 
3.336809 -5.109489 
3.076121 -5.109489 
2.789364 -5.109489 
2.528676 -5.083420 
2.267987 -5.083420 
2.007299 -5.083420 
CONTOUR-LINE z=0.100000 
-6.491137 2.111575 
-6.751825 1.955162 
-6.986444 1.746611 
-7.194995 1.590198 
-7.325339 1.355579 
-7.377477 1.094890 
-7.325339 0.834202 
-7.012513 0.703858 
-6.751825 0.625652 
-6.491137 0.573514 
-6.230448 0.521376 
-5.969760 0.469239 
-5.630866 0.469239 
-5.344109 0.469239 
-5.083420 0.495308 
-4.874870 0.677789 
-4.640250 0.886340 
-4.483837 1.120959 
-4.327425 1.355579 
-4.275287 1.642336 
-4.483837 1.824818 
-4.744525 1.876955 
-5.005214 1.929093 
-5.265902 1.981230 
-5.552659 1.981230 
-5.839416 1.981230 
-6.100104 2.007299 
CONTOUR-LINE z=0.100000 
-8.133472 -0.521376 
-8.446299 -0.495308 
-8.733055 -0.495308 
-8.993744 -0.495308 
-9.254432 -0.625652 
-9.410845 -0.834202 
-9.410845 -1.120959 
-9.254432 -1.433785 
-9.019813 -1.564129 
-8.706986 -1.772680 
-8.472367 -1.981230 
-8.133472 -2.163712 
-7.872784 -2.320125 
-7.638165 -2.476538 
-7.455683 -2.685089 
-7.351408 -2.945777 
-7.351408 -3.232534 
-7.325339 -3.493222 
-7.064651 -3.415016 
-6.777894 -3.154327 
-6.647550 -2.893639 
-6.517205 -2.659020 
-6.491137 -2.398332 
-6.438999 -2.111575 
-6.438999 -1.850886 
-6.517205 -1.564129 
-6.673618 -1.277372 
-6.830031 -1.042753 
-7.064651 -0.834202 
-7.325339 -0.729927 
-7.586027 -0.677789 
-7.846715 -0.573514 
CONTOUR-LINE z=0.100000 
-3.884254 -2.945777 
-4.144943 -2.945777 
-4.405631 -2.841501 
-4.614182 -2.659020 
-4.796663 -2.398332 
-4.900939 -2.111575 
-5.005214 -1.798749 
-5.057352 -1.538060 
-4.953076 -1.277372 
-4.796663 -1.042753 
-4.562044 -0.886340 
-4.327425 -0.729927 
-4.066736 -0.573514 
-3.806048 -0.417101 
-3.545360 -0.364964 
-3.336809 -0.573514 
-3.180396 -0.808133 
-3.076121 -1.068822 
-2.841501 -1.225235 
-2.606882 -1.355579 
-2.528676 -1.616267 
-2.450469 -1.903024 
-2.372263 -2.189781 
-2.372263 -2.450469 
-2.450469 -2.711157 
-2.685089 -2.867570 
-2.997915 -2.945777 
-3.284672 -2.971846 
CONTOUR-LINE z=0.100000 
-1.642336 -6.100104 
-1.903024 -5.943691 
-2.163712 -5.813347 
-2.424400 -5.683003 
-2.685089 -5.500521 
-2.945777 -5.370177 
-3.180396 -5.213764 
-3.415016 -5.031282 
-3.649635 -4.874870 
-3.884254 -4.744525 
-4.144943 -4.692388 
-4.405631 -4.692388 
-4.614182 -4.874870 
-4.874870 -5.057352 
-5.083420 -5.291971 
-5.265902 -5.604796 
-5.396246 -5.865485 
-5.526590 -6.126173 
-5.709072 -6.386861 
-5.943691 -6.543274 
-6.204380 -6.699687 
-6.517205 -6.751825 
-6.803962 -6.751825 
-7.090720 -6.725756 
-7.377477 -6.595412 
-7.612096 -6.465068 
-7.872784 -6.334723 
-8.263817 -6.152242 
-8.524505 -6.047966 
-8.837331 -5.865485 
-9.071950 -5.735141 
-9.358707 -5.578728 
-9.593327 -5.396246 
-9.880083 -5.265902 
-10.114703 -5.135558 
-10.401460 -5.031282 
-10.662148 -4.979145 
-10.922836 -4.953076 
-11.183524 -4.848801 
-11.470282 -4.744525 
-11.704901 -4.535975 
-11.913451 -4.327425 
-12.122002 -4.066736 
-12.252346 -3.806048 
-12.356622 -3.519291 
-12.460896 -3.206465 
-12.565172 -2.919708 
-12.643378 -2.632951 
-12.643378 -2.372263 
-12.565172 -2.085506 
-12.304483 -1.876955 
-12.122002 -1.668405 
-11.861314 -1.616267 
-11.730969 -1.303441 
-11.730969 -0.990615 
-11.678832 -0.677789 
-11.678832 -0.364964 
-11.626695 -0.078206 
-11.496350 0.208551 
-11.366006 0.547445 
-11.261731 0.886340 
-11.131387 1.120959 
-11.001042 1.355579 
-10.818561 1.720542 
-10.714286 2.033368 
-10.583941 2.320125 
-10.453597 2.659020 
-10.323254 2.971846 
-10.166841 3.310740 
-9.906152 3.623566 
-9.671533 3.884254 
-9.358707 4.092805 
-9.045881 4.327425 
-8.602711 4.535975 
-8.342023 4.666319 
-7.898853 4.848801 
-7.533889 5.005214 
-7.116788 5.135558 
-6.725756 5.239833 
-6.334723 5.344109 
-6.021898 5.526590 
-5.683003 5.709072 
-5.291971 5.917623 
-5.057352 6.100104 
-4.848801 6.256517 
-4.588113 6.465068 
-4.275287 6.699687 
-3.884254 6.908237 
-3.571429 7.090719 
-3.310740 7.325339 
-3.050052 7.481752 
-2.815433 7.716371 
-2.632951 7.924922 
-2.398332 8.133472 
-2.137643 8.289886 
-1.876955 8.420229 
-1.564129 8.654849 
-1.147028 8.837331 
-0.886340 8.967674 
-0.625652 9.124087 
-0.286757 9.306569 
-0.026069 9.436913 
0.338895 9.567258 
0.729927 9.723670 
1.016684 9.827946 
1.329510 9.958290 
1.642336 10.062565 
1.903024 10.140772 
2.163712 10.218978 
2.424400 10.297185 
2.737226 10.323254 
3.076121 10.375391 
3.362878 10.375391 
3.675704 10.375391 
4.066736 10.375391 
4.379562 10.375391 
4.692388 10.375391 
4.979145 10.375391 
5.265902 10.375391 
5.552659 10.349322 
5.917623 10.245047 
6.282586 10.166841 
6.621481 10.088634 
6.882169 9.984359 
7.221064 9.801877 
7.455683 9.671533 
7.846715 9.306569 
