CONTOUR-LINE z=0.200000 
-18.899897 -3.180396 
-18.873827 -2.867570 
-18.821690 -2.424400 
-18.717415 -1.929093 
-18.665276 -1.511992 
-18.665276 -1.068822 
-18.613138 -0.703858 
-18.534933 -0.260688 
-18.404589 0.208551 
-18.274244 0.599583 
-18.169970 0.990615 
-18.039625 1.303441 
-17.883211 1.668405 
-17.700729 1.981230 
-17.544317 2.294056 
-17.387903 2.528676 
-17.257561 2.763295 
-17.075079 2.997915 
-16.892597 3.258603 
-16.657976 3.545360 
-16.475494 3.806048 
-16.293013 4.066736 
-16.084463 4.353493 
-15.901981 4.588112 
-15.693431 4.796663 
-15.484880 4.979145 
-15.224192 5.135558 
-14.963504 5.265902 
-14.702815 5.448384 
-14.468196 5.630866 
-14.155370 5.813347 
-13.868613 5.995829 
-13.555787 6.230448 
-13.295099 6.438999 
-13.086549 6.647550 
-12.825860 6.882169 
-12.591241 7.038582 
-12.356622 7.221064 
-12.122002 7.403545 
-11.913451 7.586027 
-11.600626 7.794578 
-11.313869 7.977059 
-11.001042 8.133472 
-10.714286 8.315954 
-10.427528 8.472367 
-10.114703 8.550573 
-9.854014 8.654849 
-9.541189 8.733055 
-9.202294 8.837331 
-8.863400 8.941606 
-8.524505 9.045881 
-8.237747 9.098019 
-7.977059 9.202294 
-7.716371 9.228363 
-7.377477 9.306569 
-7.090720 9.358706 
-6.751825 9.489051 
-6.465068 9.541188 
-6.152242 9.671533 
-5.813347 9.775808 
-5.474452 9.880083 
-5.213764 9.958290 
-4.822732 10.062565 
-4.405631 10.166841 
-3.962461 10.297185 
-3.519291 10.427528 
-3.102190 10.557873 
-2.632951 10.688217 
-2.163712 10.818561 
-1.876955 10.896768 
-1.485923 11.001042 
-1.225235 11.079249 
-0.964546 11.105318 
-0.521376 11.157455 
-0.026069 11.235662 
0.443170 11.287800 
0.755996 11.339937 
1.199166 11.418144 
1.642336 11.496350 
2.033368 11.522419 
2.346194 11.574556 
2.711158 11.574556 
3.050052 11.574556 
3.362878 11.574556 
3.675704 11.574556 
4.014598 11.574556 
4.405631 11.574556 
4.796663 11.574556 
5.109489 11.574556 
5.422315 11.574556 
5.787279 11.574556 
6.126173 11.574556 
6.517205 11.574556 
6.882169 11.574556 
7.325339 11.574556 
7.742440 11.574556 
8.107404 11.574556 
8.524505 11.496350 
8.915537 11.470282 
9.254432 11.470282 
9.593327 11.470282 
9.906152 11.392075 
10.297185 11.339937 
10.636079 11.313869 
10.896768 11.235662 
11.261731 11.131387 
11.704901 11.001042 
12.043796 10.974974 
12.356622 10.948905 
12.695517 10.870699 
13.086549 10.818561 
13.347237 10.792492 
13.660063 10.740355 
13.972888 10.688217 
14.311783 10.662148 
14.676746 10.662148 
14.963504 10.610010 
15.354536 10.479666 
15.667362 10.349322 
16.032326 10.218978 
16.475494 10.062565 
16.866528 9.958290 
17.283628 9.827946 
17.648592 9.697601 
18.013556 9.515120 
18.430656 9.202294 
18.665276 8.967674 
18.899897 8.811261 
19.186653 8.628780 
19.655891 8.315954 
19.942648 8.107404 
20.203337 7.898853 
20.437956 7.612096 
20.646507 7.247132 
20.828989 6.856100 
20.985401 6.438999 
21.115746 6.152242 
21.246090 5.839416 
21.350365 5.526590 
21.428572 5.187696 
21.454639 4.927007 
21.480709 4.640250 
21.480709 4.327425 
21.558916 4.014598 
21.611053 3.623566 
21.663191 3.232534 
21.715328 2.815433 
21.793535 2.424400 
21.871742 1.981230 
22.002085 1.511992 
22.080292 1.251303 
22.158499 0.860271 
22.288843 0.391032 
22.445255 -0.078206 
22.523462 -0.338895 
22.627737 -0.729927 
22.705944 -1.120959 
22.784151 -1.511992 
22.862356 -1.772680 
22.966633 -2.163712 
23.123045 -2.632951 
23.201252 -2.919708 
23.253389 -3.180396 
23.331594 -3.649635 
23.383734 -3.936392 
23.435871 -4.275287 
23.488008 -4.588112 
23.540146 -4.953076 
23.618353 -5.396246 
23.618353 -5.735141 
23.618353 -5.995829 
23.618353 -6.360793 
23.618353 -6.673618 
23.618353 -6.934307 
23.618353 -7.194995 
23.592283 -7.586027 
23.540146 -7.872784 
23.435871 -8.133472 
23.279457 -8.420229 
23.149115 -8.706986 
23.018770 -8.993743 
22.888426 -9.358706 
22.705944 -9.671533 
22.549530 -9.958290 
22.367048 -10.192909 
22.236706 -10.427528 
22.080292 -10.662148 
21.897810 -10.870699 
21.715328 -11.105318 
21.454639 -11.235662 
21.167883 -11.366006 
20.881126 -11.444213 
20.542231 -11.522419 
20.255474 -11.574556 
19.942648 -11.600626 
19.577684 -11.678832 
19.212721 -11.704901 
18.899897 -11.783108 
18.561001 -11.809176 
18.222107 -11.809176 
17.805006 -11.809176 
17.440042 -11.887383 
16.970802 -11.991658 
16.605839 -12.043796 
16.319082 -12.095933 
16.006256 -12.095933 
15.641293 -12.174140 
15.302399 -12.200209 
14.911366 -12.278415 
14.546403 -12.330552 
14.207508 -12.356622 
13.868613 -12.434828 
13.529718 -12.460896 
13.112617 -12.539104 
12.721585 -12.591241 
12.460896 -12.591241 
12.043796 -12.591241 
11.652763 -12.617310 
11.261731 -12.617310 
10.870699 -12.617310 
10.453597 -12.617310 
9.906152 -12.617310 
9.619395 -12.617310 
9.306569 -12.617310 
8.967674 -12.617310 
8.654849 -12.617310 
8.342023 -12.617310 
7.977059 -12.617310 
7.638165 -12.617310 
7.247132 -12.617310 
6.908238 -12.617310 
6.517205 -12.617310 
6.152242 -12.617310 
5.761209 -12.617310 
5.344109 -12.617310 
4.927007 -12.617310 
4.535975 -12.617310 
4.118874 -12.617310 
3.675704 -12.617310 
3.362878 -12.617310 
3.023983 -12.617310 
2.685089 -12.617310 
2.346194 -12.617310 
2.007299 -12.617310 
1.642336 -12.565172 
1.355579 -12.539104 
0.990615 -12.513034 
0.677789 -12.460896 
0.338895 -12.382690 
0.000000 -12.356622 
-0.312826 -12.356622 
-0.573514 -12.356622 
-0.886340 -12.356622 
-1.173097 -12.356622 
-1.485923 -12.330552 
-1.798749 -12.278415 
-2.111575 -12.226277 
-2.398332 -12.174140 
-2.711158 -12.122002 
-2.997915 -12.095933 
-3.284672 -12.069864 
-3.545360 -12.017727 
-3.806048 -11.965590 
-4.118874 -11.939520 
-4.405631 -11.913451 
-4.953076 -11.809176 
-5.265902 -11.783108 
-5.604797 -11.704901 
-5.865485 -11.678832 
-6.178311 -11.652763 
-6.465068 -11.626695 
-6.751825 -11.522419 
-7.038582 -11.496350 
-7.299270 -11.496350 
-7.586027 -11.418144 
-7.872784 -11.392075 
-8.342023 -11.339937 
-8.863400 -11.261731 
-9.150156 -11.235662 
-9.671533 -11.131387 
-10.166841 -11.079249 
-10.583941 -11.001042 
-10.844630 -10.974974 
-11.261731 -10.948905 
-11.652763 -10.948905 
-11.913451 -10.922836 
-12.174140 -10.922836 
-12.460896 -10.922836 
-12.799791 -10.922836 
-13.060480 -10.922836 
-13.451512 -10.870699 
-13.920751 -10.870699 
-14.311783 -10.870699 
-14.572472 -10.870699 
-14.911366 -10.844629 
-15.224192 -10.740355 
-15.510949 -10.714286 
-15.901981 -10.688217 
-16.266945 -10.610010 
-16.553701 -10.557873 
-16.840458 -10.505735 
-17.101147 -10.427528 
-17.413973 -10.323254 
-17.857143 -10.192909 
-18.222107 -10.088634 
-18.561001 -10.036496 
-18.847757 -9.932221 
-19.186653 -9.801877 
-19.447342 -9.671533 
-19.786236 -9.567258 
-20.072992 -9.410845 
-20.333681 -9.306569 
-20.568300 -9.071950 
-20.802919 -8.863400 
-21.011471 -8.602711 
-21.220020 -8.394160 
-21.428572 -8.029197 
-21.558916 -7.716371 
-21.689260 -7.325339 
-21.793535 -7.038582 
-21.871742 -6.699687 
-21.923880 -6.386861 
-21.923880 -6.126173 
-21.923880 -5.813347 
-21.845673 -5.474452 
-21.637121 -5.213764 
-21.480709 -4.979145 
-21.246090 -4.796663 
-20.985401 -4.692388 
-20.750782 -4.483837 
-20.464025 -4.379562 
-20.151199 -4.275287 
-19.916580 -4.118874 
-19.655891 -4.014598 
-19.447342 -3.832117 
-19.238791 -3.597497 
CONTOUR-LINE z=0.400000 
-15.302399 -9.775808 
-16.657976 -9.515120 
-16.944735 -9.515120 
-17.283628 -9.515120 
-17.570385 -9.436913 
-17.857143 -9.358706 
-18.117830 -9.280500 
-18.378519 -9.202294 
-18.639208 -9.071950 
-18.899897 -8.941606 
-19.134516 -8.785192 
-19.343065 -8.602711 
-19.525547 -8.342023 
-19.708029 -8.081335 
-19.916580 -7.872784 
-20.046925 -7.638165 
-20.203337 -7.403545 
-20.281544 -7.116788 
-20.359749 -6.830031 
-20.385818 -6.569343 
-20.385818 -6.308655 
-20.255474 -6.021898 
-20.020855 -5.891554 
-19.760166 -5.787278 
-19.316998 -5.735141 
-19.056309 -5.683003 
-18.769552 -5.578728 
-18.430656 -5.474452 
-18.117830 -5.422315 
-17.778936 -5.318039 
-17.361835 -5.187696 
-17.049009 -5.083420 
-16.788321 -4.953076 
-16.527634 -4.822732 
-16.293013 -4.614182 
-16.084463 -4.353493 
-15.980187 -4.066736 
-15.849844 -3.753910 
-15.745568 -3.467153 
-15.693431 -3.154327 
-15.667362 -2.815433 
-15.641293 -2.528676 
-15.589155 -2.241919 
-15.537018 -1.981230 
-15.484880 -1.720542 
-15.380605 -1.459854 
-15.198123 -1.251303 
-15.041710 -1.042753 
-14.833159 -0.808133 
-14.494265 -0.625652 
-14.207508 -0.443170 
-13.842545 -0.260688 
-9.906152 -0.651721 
-9.567258 -0.651721 
-9.202294 -0.703858 
-8.811262 -0.755996 
-8.420229 -0.808133 
-8.107404 -0.886340 
-7.794578 -0.990615 
-7.481752 -1.120959 
-7.090720 -1.329510 
-6.856100 -1.485923 
-6.543274 -1.720542 
-6.360793 -1.929093 
-6.152242 -2.267987 
-6.021898 -2.580813 
-5.787279 -3.050052 
-5.656934 -3.519291 
-5.500521 -3.962461 
-5.370177 -4.327425 
-5.344109 -4.588112 
-5.265902 -4.900939 
-5.187696 -5.265902 
-5.135558 -5.683003 
-5.057352 -5.995829 
-4.979145 -6.308655 
-4.953076 -6.595412 
-4.953076 -6.882169 
-4.953076 -7.194995 
-4.953076 -7.481752 
-5.109489 -7.716371 
-5.318039 -7.924922 
-5.552659 -8.055265 
-5.839416 -8.159541 
-6.100104 -8.289886 
-6.360793 -8.368092 
-6.699687 -8.472367 
-7.064651 -8.550573 
-7.351408 -8.654849 
-7.612096 -8.733055 
-7.872784 -8.811261 
-8.159541 -8.915537 
-8.420229 -8.993743 
-8.733055 -9.098019 
-9.019813 -9.150156 
-9.280500 -9.228363 
-9.567258 -9.306569 
-9.854014 -9.358706 
-10.114703 -9.436913 
-10.401460 -9.515120 
-10.662148 -9.593327 
-10.974974 -9.593327 
-11.261731 -9.671533 
-11.548488 -9.697601 
-11.835245 -9.801877 
-12.122002 -9.906152 
-12.356622 -10.062565 
-12.617310 -10.166841 
-12.904067 -10.218978 
-13.190824 -10.218978 
-13.451512 -10.245047 
-13.738269 -10.271115 
-13.998958 -10.271115 
-14.285714 -10.192909 
-14.520333 -10.062565 
CONTOUR-LINE z=0.500000 
-1.199166 -7.481752 
-1.147028 -7.768509 
-0.964546 -8.107404 
-0.834202 -8.420229 
-0.703858 -8.654849 
-0.521376 -8.889468 
-0.312826 -9.124087 
-0.156413 -9.358706 
0.026069 -9.567258 
0.312826 -9.801877 
0.573514 -9.958290 
0.808133 -10.114703 
1.173097 -10.297185 
1.433785 -10.401460 
1.694473 -10.453597 
1.955162 -10.531804 
2.215850 -10.583941 
2.502607 -10.610010 
2.919708 -10.610010 
3.441084 -10.610010 
3.858186 -10.610010 
4.353493 -10.610010 
4.796663 -10.453597 
5.239833 -10.349322 
5.709072 -10.245047 
6.152242 -10.192909 
6.569343 -10.062565 
6.882169 -9.958290 
7.142857 -9.827946 
7.429614 -9.671533 
7.742440 -9.489051 
8.029197 -9.306569 
8.342023 -9.098019 
8.576642 -8.915537 
8.889468 -8.680918 
9.124087 -8.524505 
9.410845 -8.315954 
9.697601 -8.107404 
9.958290 -7.924922 
10.245047 -7.638165 
10.427528 -7.351408 
10.610010 -7.142857 
10.740355 -6.908237 
10.922836 -6.673618 
11.053181 -6.438999 
11.235662 -6.230448 
11.418144 -5.969760 
11.574557 -5.735141 
11.730969 -5.500521 
11.991658 -5.239833 
12.174140 -5.005214 
12.330553 -4.744525 
12.513035 -4.509906 
12.721585 -4.197080 
12.930136 -3.936392 
13.164755 -3.597497 
13.321168 -3.362878 
13.451512 -3.076121 
13.607924 -2.815433 
13.816476 -2.580813 
14.025026 -2.320125 
14.207508 -2.111575 
14.442127 -1.929093 
14.676746 -1.694473 
14.911366 -1.485923 
15.119917 -1.277372 
15.354536 -1.042753 
15.510949 -0.808133 
15.771637 -0.521376 
16.032326 -0.234619 
16.266945 0.000000 
16.501564 0.312826 
16.710115 0.677789 
16.892597 0.990615 
17.127216 1.329510 
17.309698 1.694473 
17.440042 2.007299 
17.570385 2.294056 
17.674662 2.554744 
17.857143 2.893639 
17.961418 3.180396 
18.091763 3.441084 
18.196037 3.779979 
18.274244 4.066736 
18.326382 4.327425 
18.352451 4.588112 
18.352451 4.848801 
18.352451 5.109489 
18.352451 5.396246 
18.326382 5.656934 
18.248175 5.917623 
18.117830 6.204380 
17.987488 6.438999 
17.857143 6.673618 
17.700729 6.882169 
17.518248 7.090719 
17.283628 7.325339 
17.101147 7.533889 
16.866528 7.690302 
16.605839 7.820646 
16.345152 7.950991 
16.110531 8.081335 
15.771637 8.263817 
15.458811 8.420229 
15.198123 8.576642 
14.937435 8.706986 
14.650678 8.863400 
14.389990 9.019813 
14.129301 9.124087 
13.842545 9.254432 
13.581856 9.306569 
13.321168 9.384776 
13.060480 9.436913 
12.799791 9.515120 
12.486965 9.541188 
12.200209 9.567258 
11.913451 9.619395 
11.574557 9.671533 
11.287800 9.723670 
11.027112 9.775808 
10.766423 9.827946 
10.479667 9.827946 
10.192909 9.906152 
9.827946 9.906152 
9.462982 9.906152 
9.124087 9.906152 
8.733055 9.906152 
8.315954 9.906152 
8.003128 9.906152 
7.716371 9.906152 
7.377477 9.906152 
7.064651 9.906152 
6.803962 9.906152 
6.517205 9.906152 
6.178311 9.906152 
5.865485 9.906152 
5.578728 9.906152 
5.318039 9.906152 
4.874870 9.906152 
4.562044 9.906152 
4.275287 9.906152 
3.910323 9.906152 
3.571429 9.906152 
3.284672 9.906152 
2.997915 9.906152 
2.711158 9.880083 
