CONTOUR-LINE z=0.200000 
-22.862356 -3.779979 
-22.862356 -3.467153 
-22.810219 -3.154327 
-22.810219 -2.815433 
-22.810219 -2.554744 
-22.810219 -2.267987 
-22.784151 -1.929093 
-22.784151 -1.590198 
-22.758081 -1.277372 
-22.758081 -0.938478 
-22.758081 -0.677789 
-22.758081 -0.338895 
-22.758081 -0.052138 
-22.758081 0.260688 
-22.758081 0.625652 
-22.705944 0.938478 
-22.705944 1.277372 
-22.653807 1.538060 
-22.627737 1.824818 
-22.575600 2.137643 
-22.523462 2.424400 
-22.471325 2.711157 
-22.419188 2.997915 
-22.340981 3.284672 
-22.236706 3.597497 
-22.158499 3.858186 
-22.080292 4.144943 
-22.002085 4.457768 
-21.897810 4.718457 
-21.741398 5.057352 
-21.584984 5.318039 
-21.428572 5.552659 
-21.220020 5.891554 
-21.011471 6.204380 
-20.776852 6.491137 
-20.620438 6.725756 
-20.464025 6.960375 
-20.281544 7.221064 
-20.125130 7.429614 
-19.942648 7.664234 
-19.760166 7.898853 
-19.551617 8.133472 
-19.395203 8.342023 
-19.186653 8.524505 
-18.978102 8.706986 
-18.743483 8.941606 
-18.482794 9.071950 
-18.222107 9.176225 
-17.857143 9.332638 
-17.570385 9.462982 
-17.309698 9.515120 
-17.022940 9.593327 
-16.736183 9.619395 
-16.371220 9.697601 
-16.006256 9.801877 
-15.641293 9.827946 
-15.328467 9.906152 
-14.989573 9.958290 
-14.624609 10.036496 
-14.311783 10.088634 
-14.051095 10.166841 
-13.712200 10.218978 
-13.425443 10.245047 
-13.112617 10.323254 
-12.747654 10.427528 
-12.486965 10.531804 
-12.148071 10.583941 
-11.783108 10.662148 
-11.392076 10.714286 
-11.027112 10.792492 
-10.740355 10.818561 
-10.375391 10.870699 
-10.010427 10.896768 
-9.671533 10.948905 
-9.228363 11.001042 
-8.811262 11.053181 
-8.394160 11.131387 
-8.133472 11.157455 
-7.872784 11.183524 
-7.559958 11.261731 
-7.299270 11.287800 
-6.986444 11.313869 
-6.699687 11.366006 
